bat;topic;datum
1; GUI Frameworks ;24. Jun 05
2; Enterprise Architektur ;11. Nov 05
3; SOA ;17. Mär 06
4; Workflow ;23. Jun 06
5; SAP Integration ;17. Nov 06
6; MDA/MDSD ;23. Mär 07
7; Architektur messen/verkaufen ;15. Jun 07
8; EA Tools ;16. Nov 07
9; Business Rules ;14. Mär 08
10; RIA ;20. Jun 08
11; Workplace ;21. Nov 08
12; Architekturplanung ;13. Mär 09
13; SOAreloaded ;12. Jun 09
14; Qualitätssicherung ;13. Nov 09
15; Business Intelligence, DWH;05. Mär 10
16; Informatik-Sicherheit ;11. Jun 10
17; IT-Innovation ;05. Nov 10
18; Datenhaltung ;11. Mär 11
19; Integration ;01. Jul 11
20; Jubiläums-BAT ;11. Nov 11
21; Social Media im Unternehmenseinsatz ;09. Mär 12
22; Mobilkommunikation im Unternehmen ;29. Jun 12
23; Management von Projekt- & Anwendungsportfolios ;02. Nov 12
24; Open Source Software ;15. Mär 13
25; Fertigungstiefe ;28. Jun 13
26; Mobile Applikationen ;08. Nov 13
27; Security - Quo Vadis? ;28. Mär 14
28; IT-getriebene Geschäftsinnovationen ;20. Jun 14
29; Big Data / Information Management ;21. Nov 14
30; Agile Architektur ;27. Mär 15
31; Open Data ;19. Jun 15
32; Internet of Things ;06. Nov 15
33; NoSQL Databases ;15. Apr 16
34; Digitalisierung / Industrie 4.0 ;01. Jul 16
35; Hochverfügbare Systeme ;04. Nov 16
36; Container ;03. Mär 17
37; Not only Java - Programmiersprachen in Unternehmen ;23. Jun 17
38; Kryptographie ;03. Nov 17
39; Cloud ;23. Mär 18
40; Advanced Analytics / Artificial Intelligence im Unternehmen ;29. Jun 18
41; Microservice Architekturen & APIs ;02. Nov 18
