company-domain,companyDisplayname,companyName,Column1,Column2
1p.com,1p GmbH,1p,1,1
42talents.com,42talents.com,42talents,1,1
4quant.com,4Quant,4quant,1,1
4teamwork.ch,4teamwork AG,4teamwork,1,1
5dev,5dev,5dev,1,1
,72 Services GmbH,72,0,1
a-solution.ch,a-solution GmbH,a-solution,1,1
andreasraab.ch,A.Raab Unternehmensberatung,andreasraab,1,1
akb.ch,Aargauische Kantonalbank,akb,1,1
aastra.com,Aastra Telecom Schweiz AG,aastra,1,1
abbi.ch,abbi GmbH,abbi,1,1
abilita.ch,Abilita AG,abilita,1,1
accenture.com,Accenture,accenture,1,1
ace.ch,ACE,ace,1,3
ebmnet.ch,Actelion,ebmnet,1,1
adcubum.ch,Adcubum AG,adcubum,1,1
adesso.ch,adesso,adesso,1,3
,Adfinis,adfinis,0,1
adnovum.ch,Adnovum,adnovum,1,2
advis.ch,ADVIS AG,advis,1,1
advisca.ch,advisca gmbh,advisca,1,1
afca.ch,afca,afca,1,1
aionav.com,AIONAV Systems AG,aionav,1,1
aity.ch,aity AG,aity,1,1
akqit.ch,AKQIT,akqit,1,1
akros.ch,akros,akros,1,2
algacom.ch,algacom AG,algacom,1,1
aloba.ch,aloba,aloba,1,1
,Alpine Intelligence,alpine,0,1
alpiq.ch,Alpiq,alpiq,1,2
amanox.ch,Amanox Solutions,amanox,1,1
analytixgroup.ch,AnalytixGroup AG,analytixgroup,1,1
anaptecs.de,anaptecs GmbH,anaptecs,1,1
andrena.ch,andrena II suisse ag,andrena,1,1
anea.ch,anea GmbH,anea,1,1
app.ch,APP Unternehmensberatung AG,app,1,1
approppo.ch,approppo,approppo,1,1
,Aproda,aproda,0,1
,Arcondis,arcondis,0,1
ascom.ch,Ascom (Schweiz) AG,ascom,1,1
astra.admin.ch,ASTRA,astra,1,1
atupri.ch,Atupri,atupri,1,1
,aucoma ag,aucoma,0,1
avectris.ch,Avectris AG,avectris,1,1
avega.ch,avega IT AG,avega,1,1
